[15:30:35] 127.0.0.1:51578 400     2ms - POST /user
[15:33:21] 127.0.0.1:50102 400     1ms - POST /user
[15:35:13] 127.0.0.1:42758 403      0s - POST /user
[15:36:38] 127.0.0.1:42758 403      0s - POST /user
[15:37:23] 127.0.0.1:42758 403      0s - POST /user
[15:38:58] 127.0.0.1:42758 403      0s - POST /user
[15:46:15] 127.0.0.1:53540 400     1ms - POST /user
[15:47:13] 127.0.0.1:44774 400     1ms - POST /user
[10:28:53] 127.0.0.1:32854 400     1ms - POST /user
[10:29:05] 127.0.0.1:32854 201   175ms - POST /user
[10:29:36] 127.0.0.1:54078 404      0s - POST /user
[10:39:03] 127.0.0.1:52790 400      0s - POST /user
[10:39:41] 127.0.0.1:58722 400     1ms - POST /user
[10:39:48] 127.0.0.1:58722 201   121ms - POST /user
[10:39:51] 127.0.0.1:58722 400     1ms - POST /user
[10:43:29] 127.0.0.1:58872 400      0s - POST /user
[10:48:33] 127.0.0.1:45970 400      0s - POST /user
[10:48:57] 127.0.0.1:38388 400      0s - POST /user
[10:49:13] 127.0.0.1:45034 400      0s - POST /user
[10:49:39] 127.0.0.1:58906 400      0s - POST /user
[10:50:13] 127.0.0.1:39124 404      0s - POST /login
[10:50:20] 127.0.0.1:39124 404     1ms - POST /user/login
[10:57:43] 127.0.0.1:44490 404     1ms - POST /user/login
[10:57:50] 127.0.0.1:44490 400      0s - POST /user/login
[10:58:03] 127.0.0.1:44490 400      0s - POST /user
[11:12:46] 127.0.0.1:47106 400      0s - POST /user
[11:13:44] 127.0.0.1:55024 400      0s - POST /user
[11:14:37] 127.0.0.1:38634 400      0s - POST /user
[11:14:38] 127.0.0.1:38634 400      0s - POST /user
[11:25:27] 127.0.0.1:34116 400      0s - POST /user
[11:26:15] 127.0.0.1:37878 400      0s - POST /user
[11:31:28] 127.0.0.1:36982 400      0s - POST /user
[11:31:38] 127.0.0.1:57060 400      0s - POST /user
[11:32:03] 127.0.0.1:33758 400      0s - POST /user
[11:32:56] 127.0.0.1:56524 400      0s - POST /user
[11:33:11] 127.0.0.1:56524 400      0s - POST /user
[11:33:30] 127.0.0.1:56524 400      0s - POST /user
[11:33:35] 127.0.0.1:56524 201   144ms - POST /user
[11:33:37] 127.0.0.1:56524 400     1ms - POST /user
[11:50:23] 127.0.0.1:51174 400     1ms - POST /user
[11:50:28] 127.0.0.1:51174 400      0s - POST /user
[13:10:34] 127.0.0.1:51174 400      0s - POST /user
[13:28:09] 127.0.0.1:48604 400     1ms - POST /user
[13:28:26] 127.0.0.1:48604 400      0s - POST /user
[13:28:34] 127.0.0.1:48604 201   122ms - POST /user
[13:28:39] 127.0.0.1:48604 400      0s - POST /user
[13:31:06] 127.0.0.1:60170 201   128ms - POST /user
[13:56:39] 127.0.0.1:40364 201   123ms - POST /user
[13:57:22] 127.0.0.1:44318 201   124ms - POST /user
[13:58:04] 127.0.0.1:40522 201   119ms - POST /user
[13:58:33] 127.0.0.1:40522 404     1ms - POST /user
[13:58:57] 127.0.0.1:40522 200   154ms - POST /user/login
[13:59:12] 127.0.0.1:40522 400   130ms - POST /user/login
[13:59:20] 127.0.0.1:40522 404     4ms - POST /user/login
